,i_max,width,treatment,mouse,vessel_type,vessel,region_in_vessel,profile,repetition,y_bin_width,depth,rbc_flow,source
90,177.13310160427727,0.8543536334541475,Enzyme,20230523,pa,1.0,1,2,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
91,176.74613739201894,0.8355864682250607,Enzyme,20230523,pa,1.0,1,3,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
92,189.5467708761817,0.8354851201030726,Enzyme,20230523,pa,1.0,1,4,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
93,193.20204853969477,0.8169839220867612,Enzyme,20230523,pa,1.0,1,5,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
94,188.82177293294856,0.8030743418384239,Enzyme,20230523,pa,1.0,1,6,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
95,182.45965857671655,0.7040681568241034,Enzyme,20230523,pa,1.0,1,7,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
96,147.60269664975485,0.6347850650565814,Enzyme,20230523,pa,1.0,2,0,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc
97,132.34953105717744,0.5896271972465392,Enzyme,20230523,pa,1.0,2,1,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc
98,135.17036199094963,0.7172179945292845,Enzyme,20230523,pa,1.0,2,2,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc
99,121.45957219251284,0.7133012729965973,Enzyme,20230523,pa,1.0,2,3,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc
100,133.38245989304752,0.6008422871022168,Enzyme,20230523,pa,1.0,2,4,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc
101,143.94083916083855,0.726823073338112,Enzyme,20230523,pa,1.0,2,5,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc
102,149.8735870012334,0.7556127800598631,Enzyme,20230523,pa,1.0,2,6,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc
103,110.47991772932905,0.5863196989372135,Enzyme,20230523,pa,1.0,2,7,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_noterecovery.nc
104,260.2871612048071,0.80196507794893,Saline,20230524,pa,1.0,1,0,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
105,245.4733401892215,0.629082660443359,Saline,20230524,pa,1.0,1,1,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
106,258.03438914027043,0.6001130371834158,Saline,20230524,pa,1.0,1,2,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
107,248.75711229946413,0.7580589517284544,Saline,20230524,pa,1.0,1,3,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
108,220.947392019744,0.8009687030023702,Saline,20230524,pa,1.0,1,4,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
109,242.65246400658063,0.7399701989353602,Saline,20230524,pa,1.0,1,5,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
110,242.69206910736216,0.8081701390917679,Saline,20230524,pa,1.0,1,6,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
111,229.5420979020969,0.7432379541399641,Saline,20230524,pa,1.0,1,7,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi1_noterecovery.nc
112,236.34276703688369,0.732056278786116,Saline,20230524,pa,1.0,1,0,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi2_noterecovery-near-roi1.nc
113,209.85229123817265,0.7142371506033403,Saline,20230524,pa,1.0,1,1,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi2_noterecovery-near-roi1.nc
114,228.3949609214305,0.815431716691684,Saline,20230524,pa,1.0,1,2,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi2_noterecovery-near-roi1.nc
115,234.15893870834944,0.6532767478257462,Saline,20230524,pa,1.0,1,3,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi2_noterecovery-near-roi1.nc
116,253.56714932126584,0.6450165785799946,Saline,20230524,pa,1.0,1,4,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi2_noterecovery-near-roi1.nc
117,208.5082805429855,0.9643196018147736,Saline,20230524,pa,1.0,1,5,,1.0,0.0,yes,../../Glycocalyx_frap/20230524_Glx_B6_HAse/20230524_mouseb6_vtyppa_loc1_roi2_noterecovery-near-roi1.nc
