"",i_max,width,treatment,mouse,vessel_type,vessel,region_in_vessel,profile,repetition,y_bin_width,depth,rbc_flow,source,ln_i_max,ln_width,ln_i_max_stnd
219,232.043701171875,0.5495200894610157,E,E-20230510,pa,E-20230510-1,3,7,1,1.0,0.0,yes,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,5.446925721047602,-0.5987099462780533,0.5167351666244202
966,270.6964416503906,0.5341631370856845,E,E-20230523,pa,E-20230523-1,1,15,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_rep1_PRE.nc,5.600998051540843,-0.6270539865171564,0.7780971436624106
967,190.60333251953125,0.770314682528209,E,E-20230523,pa,E-20230523-1,2,0,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,5.250194475429955,-0.2609561690127009,0.18300835704630228
968,196.09886169433597,0.7714053279671766,E,E-20230523,pa,E-20230523-1,2,1,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,5.278618928465086,-0.2595413263519338,0.2312264323989765
969,249.9553985595703,0.6127808718081518,E,E-20230523,pa,E-20230523-1,2,2,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,5.521282496184327,-0.48974787545522036,0.6428709477454576
970,233.22120666503903,0.6993052318097952,E,E-20230523,pa,E-20230523-1,2,3,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,5.4519873880134515,-0.3576679628048135,0.5253215706923476
971,192.8013916015625,0.4953096314842931,E,E-20230523,pa,E-20230523-1,2,4,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,5.261660600000825,-0.7025721938182933,0.2024590201031438
972,180.9585418701172,0.5162210809716932,E,E-20230523,pa,E-20230523-1,2,5,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,5.198267954588426,-0.6612201537641783,0.09492233858731607
973,242.1074676513672,0.6469295396633328,E,E-20230523,pa,E-20230523-1,2,6,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,5.489381708785808,-0.4355178935594776,0.5887557614764258
974,168.9580535888672,0.6062721234250503,E,E-20230523,pa,E-20230523-1,2,7,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,5.129650480499287,-0.5004263451487643,-0.021477527825277863
975,188.80044555664065,0.6277399909898875,E,E-20230523,pa,E-20230523-1,2,8,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,5.240690613648449,-0.4656292253329834,0.1668863960377406
976,195.1526641845703,0.6929841760387276,E,E-20230523,pa,E-20230523-1,2,9,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,5.273782145516886,-0.36674811405188357,0.22302151234747794
977,184.92495727539065,0.561022804254474,E,E-20230523,pa,E-20230523-1,2,10,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,5.219950106436406,-0.5779937249906383,0.13170305096626417
978,229.8954620361328,0.7603237163249013,E,E-20230523,pa,E-20230523-1,3,0,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi3_rep1_PRE.nc,5.437624692714525,-0.27401099385676514,0.500957283951801
979,203.7642974853516,0.7427765794224364,E,E-20230523,pa,E-20230523-1,3,1,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi3_rep1_PRE.nc,5.3169639213663,-0.29735998012663195,0.29627330435895294
980,219.7820281982422,0.6899305720102831,E,E-20230523,pa,E-20230523-1,3,2,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi3_rep1_PRE.nc,5.392636274287428,-0.3711643067283435,0.4246407776311909
981,191.57395935058597,0.6801433116572788,E,E-20230523,pa,E-20230523-1,3,3,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi3_rep1_PRE.nc,5.255273944768563,-0.38545175057998504,0.19162496032861917
982,217.38766479492188,0.6738905695499824,E,E-20230523,pa,E-20230523-1,3,4,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi3_rep1_PRE.nc,5.3816822334035805,-0.39468754096972286,0.4060587923208375
983,266.2243957519531,0.5240651493757831,E,E-20230523,pa,E-20230523-1,3,5,1,1.0,0.0,yes,../20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi3_rep1_PRE.nc,5.584339546209523,-0.6461392715197218,0.7498383390220614
88,209.71007815713605,0.7546068537430912,E,E-20230523,pa,E-20230523-1,1,0,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc,5.345725996634466,-0.2815583888757721,0.3450641082089227
89,182.1091855203612,0.8167194566994631,E,E-20230523,pa,E-20230523-1,1,1,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc,5.204606427638011,-0.20245962534411877,0.10567466408494595
90,177.13310160427727,0.8543536334541475,E,E-20230523,pa,E-20230523-1,1,2,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc,5.176901436438516,-0.1574100802097354,0.058677054257542424
91,176.74613739201894,0.8355864682250607,E,E-20230523,pa,E-20230523-1,1,3,,1.0,0.0,yes,../../Glycocalyx_frap/20230523_Glx_B6_HAse/20230523_mouseb6_vtyppa_loc1_roi1_noterecovery.nc,5.1747144510273895,-0.17962144351287598,0.05496714197818961
